       w_name                  w_capacity          
Supplier#000000018___MOZAMBIQUE         6789        
Supplier#000000018___MOZAMBIQUE         6789        
Supplier#000000018___MOZAMBIQUE         6789        
Supplier#000000030___MOZAMBIQUE         6789        
Supplier#000000030___MOZAMBIQUE         6789        
Supplier#000000030___MOZAMBIQUE         6789        
Supplier#000000031___MOZAMBIQUE         6789        
Supplier#000000031___MOZAMBIQUE         6789        
Supplier#000000031___MOZAMBIQUE         6789        
Supplier#000000056___MOZAMBIQUE         6789        
Supplier#000000056___MOZAMBIQUE         6789        
Supplier#000000056___MOZAMBIQUE         6789        
Supplier#000000058___MOZAMBIQUE         6789        
Supplier#000000058___MOZAMBIQUE         6789        
Supplier#000000058___MOZAMBIQUE         6789        
Supplier#000000073___MOZAMBIQUE         6789        
Supplier#000000073___MOZAMBIQUE         6789        
Supplier#000000073___MOZAMBIQUE         6789        
Supplier#000000093___MOZAMBIQUE         6789        
Supplier#000000093___MOZAMBIQUE         6789        
Supplier#000000093___MOZAMBIQUE         6789        
Supplier#000000004___MOROCCO         6750        
Supplier#000000004___MOROCCO         6750        
Supplier#000000004___MOROCCO         6750        
Supplier#000000014___MOROCCO         6750        
Supplier#000000014___MOROCCO         6750        
Supplier#000000014___MOROCCO         6750        
Supplier#000000006___KENYA         6534        
Supplier#000000006___KENYA         6534        
Supplier#000000006___KENYA         6534        
Supplier#000000047___KENYA         6534        
Supplier#000000047___KENYA         6534        
Supplier#000000047___KENYA         6534        
Supplier#000000048___KENYA         6534        
Supplier#000000048___KENYA         6534        
Supplier#000000048___KENYA         6534        
Supplier#000000076___KENYA         6534        
Supplier#000000076___KENYA         6534        
Supplier#000000076___KENYA         6534        
Supplier#000000079___KENYA         6534        
Supplier#000000079___KENYA         6534        
Supplier#000000079___KENYA         6534        
Supplier#000000083___KENYA         6534        
Supplier#000000083___KENYA         6534        
Supplier#000000083___KENYA         6534        
Supplier#000000024___ALGERIA         6390        
Supplier#000000024___ALGERIA         6390        
Supplier#000000024___ALGERIA         6390        
Supplier#000000028___ALGERIA         6390        
Supplier#000000028___ALGERIA         6390        
Supplier#000000028___ALGERIA         6390        
Supplier#000000037___ALGERIA         6390        
Supplier#000000037___ALGERIA         6390        
Supplier#000000037___ALGERIA         6390        
Supplier#000000002___ETHIOPIA         6342        
Supplier#000000002___ETHIOPIA         6342        
Supplier#000000002___ETHIOPIA         6342        
Supplier#000000063___ETHIOPIA         6342        
Supplier#000000063___ETHIOPIA         6342        
Supplier#000000063___ETHIOPIA         6342        
Supplier#000000078___ETHIOPIA         6342        
Supplier#000000078___ETHIOPIA         6342        
Supplier#000000078___ETHIOPIA         6342        
